"","sample","maxGeneset"
"PTC10-0616A","P0616A","cytotoxic1"
"PTC1-0616A","P0616A","cytotoxic1"
"PTC11-0616A","P0616A","naive2"
"PTC12-0616A","P0616A","naive2"
"PTC14-0616A","P0616A","cytotoxic1"
"PTC17-0616A","P0616A","cytotoxic1"
"PTC18-0616A","P0616A","naive2"
"PTC20-0616A","P0616A","cytotoxic1"
"PTC21-0616A","P0616A","cytotoxic1"
"PTC23-0616A","P0616A","naive2"
"PTC24-0616A","P0616A","cytotoxic1"
"PTC25-0616A","P0616A","naive2"
"PTC28-0616A","P0616A","cytotoxic1"
"PTC29-0616A","P0616A","cytotoxic1"
"PTC3-0616A","P0616A","cytotoxic1"
"PTC31-0616A","P0616A","naive2"
"PTC32-0616A","P0616A","naive2"
"PTC33-0616A","P0616A","naive2"
"PTC35-0616A","P0616A","naive2"
"PTC38-0616A","P0616A","naive2"
"PTC4-0616A","P0616A","naive2"
"PTC42-0616A","P0616A","naive2"
"PTC43-0616A","P0616A","naive2"
"PTC44-0616A","P0616A","cytotoxic1"
"PTC45-0616A","P0616A","naive2"
"PTC46-0616A","P0616A","cytotoxic1"
"PTC47-0616A","P0616A","cytotoxic1"
"PTC49-0616A","P0616A","cytotoxic1"
"PTC50-0616A","P0616A","cytotoxic1"
"PTC52-0616A","P0616A","naive2"
"PTC53-0616A","P0616A","cytotoxic1"
"PTC59-0616A","P0616A","naive2"
"PTC6-0616A","P0616A","cytotoxic1"
"PTC63-0616A","P0616A","naive2"
"PTC64-0616A","P0616A","naive2"
"PTC66-0616A","P0616A","cytotoxic1"
"PTC69-0616A","P0616A","naive2"
"PTC70-0616A","P0616A","naive2"
"PTC72-0616A","P0616A","naive2"
"PTC73-0616A","P0616A","cytotoxic1"
"PTC77-0616A","P0616A","cytotoxic1"
"PTC78-0616A","P0616A","cytotoxic1"
"PTC79-0616A","P0616A","cytotoxic1"
"PTC80-0616A","P0616A","cytotoxic1"
"PTC8-0616A","P0616A","naive2"
"PTC84-0616A","P0616A","cytotoxic1"
"PTC85-0616A","P0616A","naive2"
"PTC86-0616A","P0616A","cytotoxic1"
"PTC87-0616A","P0616A","naive2"
"PTC88-0616A","P0616A","cytotoxic1"
"PTC89-0616A","P0616A","cytotoxic1"
"PTC92-0616A","P0616A","naive2"
"PTC94-0616A","P0616A","cytotoxic1"
"PTC95-0616A","P0616A","cytotoxic1"
"PTC96-0616A","P0616A","naive2"
"TTC100-0616A","P0616A","cytotoxic1"
"TTC10-0616A","P0616A","cytotoxic1"
"TTC101-0616A","P0616A","naive2"
"TTC103-0616A","P0616A","predysfunctional3"
"TTC104-0616A","P0616A","predysfunctional3"
"TTC1-0616A","P0616A","predysfunctional3"
"TTC107-0616A","P0616A","predysfunctional3"
"TTC108-0616A","P0616A","predysfunctional3"
"TTC109-0616A","P0616A","naive2"
"TTC11-0616A","P0616A","predysfunctional3"
"TTC111-0616A","P0616A","naive2"
"TTC112-0616A","P0616A","cytotoxic1"
"TTC113-0616A","P0616A","predysfunctional3"
"TTC114-0616A","P0616A","predysfunctional3"
"TTC115-0616A","P0616A","predysfunctional3"
"TTC116-0616A","P0616A","predysfunctional3"
"TTC117-0616A","P0616A","predysfunctional3"
"TTC119-0616A","P0616A","predysfunctional3"
"TTC120-0616A","P0616A","predysfunctional3"
"TTC12-0616A","P0616A","predysfunctional3"
"TTC122-0616A","P0616A","predysfunctional3"
